x_m,y_m,w_tr_right_m,w_tr_left_m
10.500000,11.779468,1.2500,1.2500
10.550000,11.781960,1.2500,1.2500
10.600000,11.785404,1.2500,1.2500
10.650000,11.788913,1.2500,1.2500
10.700000,11.792469,1.2492,1.2492
10.750000,11.796057,1.2394,1.2394
10.800000,11.799659,1.2295,1.2295
10.850000,11.803259,1.2697,1.2697
10.900000,11.806838,1.2598,1.2598
10.950000,11.810381,1.2500,1.2500
11.000000,11.813870,1.2500,1.2500
11.050000,11.817288,1.2500,1.2500
11.100000,11.821604,1.2500,1.2500
11.150000,11.825062,1.2500,1.2500
11.200000,11.828630,1.2500,1.2500
11.250000,11.832291,1.2500,1.2500
11.300000,11.836029,1.2500,1.2500
11.350000,11.839826,1.2500,1.2500
11.400000,11.843665,1.2500,1.2500
11.450000,11.847530,1.2500,1.2500
11.500000,11.851403,1.3000,1.3000
11.550000,11.855267,1.3000,1.3000
11.600000,11.858237,1.3000,1.3000
11.650000,11.861275,1.3000,1.3000
11.700000,11.864363,1.3000,1.3000
11.750000,11.867480,1.3000,1.3000
11.800000,11.870607,1.3000,1.3000
11.850000,11.874709,1.3000,1.3000
11.900000,11.878899,1.2992,1.2992
11.950000,11.883159,1.2894,1.2894
12.000000,11.887473,1.2795,1.2795
12.050000,11.890953,1.2697,1.2697
12.100000,11.894564,1.2598,1.2598
12.150000,11.898288,1.2500,1.2500
12.200000,11.902103,1.3000,1.3000
12.250000,11.905990,1.3000,1.3000
12.300000,11.909929,1.3000,1.3000
12.350000,11.913901,1.3000,1.3000
12.400000,11.917015,1.3000,1.3000
12.450000,11.920234,1.3000,1.3000
12.500000,11.923534,1.3000,1.3000
12.550000,11.926894,1.3000,1.3000
12.600000,11.931276,1.3000,1.3000
12.650000,11.935788,1.3000,1.3000
12.700000,11.940412,1.3000,1.3000
12.750000,11.944258,1.3000,1.3000
12.800000,11.948287,1.2992,1.2992
12.850000,11.952478,1.3394,1.3394
12.900000,11.956806,1.3295,1.3295
12.950000,11.961251,1.3197,1.3197
13.000000,11.965789,1.3098,1.3098
13.050000,11.970397,1.3000,1.3000
13.100000,11.975053,1.3000,1.3000
13.150000,11.980720,1.3000,1.3000
13.200000,11.986506,1.3000,1.3000
13.250000,11.991522,1.3000,1.3000
13.300000,11.996731,1.3000,1.3000
13.350000,12.002109,1.3500,1.3500
13.400000,12.007633,1.3500,1.3500
13.450000,12.013282,1.3500,1.3500
13.500000,12.019033,1.3492,1.3492
13.550000,12.024863,1.3394,1.3394
13.600000,12.030749,1.3295,1.3295
13.650000,12.036669,1.3197,1.3197
13.700000,12.041731,1.3098,1.3098
13.750000,12.046892,1.3000,1.3000
13.800000,12.052129,1.3394,1.3394
13.850000,12.057414,1.3492,1.3492
13.900000,12.063709,1.3500,1.3500
13.950000,12.070119,1.3500,1.3500
14.000000,12.075752,1.3500,1.3500
14.050000,12.081568,1.3500,1.3500
14.100000,12.087540,1.3492,1.3492
14.150000,12.093643,1.3394,1.3394
14.200000,12.099853,1.3295,1.3295
14.250000,12.106142,1.3295,1.3295
14.300000,12.111617,1.3394,1.3394
14.350000,12.117233,1.3492,1.3492
14.400000,12.122962,1.3500,1.3500
14.450000,12.128776,1.3500,1.3500
14.500000,12.134646,1.3500,1.3500
14.550000,12.140544,1.3492,1.3492
14.600000,12.147427,1.3394,1.3394
14.650000,12.154399,1.3000,1.3000
14.700000,12.161435,1.3098,1.3098
14.750000,12.168508,1.3197,1.3197
14.800000,12.174724,1.3295,1.3295
14.850000,12.181039,1.3394,1.3394
14.900000,12.187425,1.3492,1.3492
14.950000,12.193853,1.3500,1.3500
15.000000,12.200295,1.3000,1.3000
15.050000,12.205853,1.3000,1.3000
15.100000,12.211480,1.3000,1.3000
15.150000,12.217145,1.3000,1.3000
15.200000,12.223802,1.3000,1.3000
15.250000,12.230552,1.3098,1.3098
15.300000,12.236496,1.3197,1.3197
15.350000,12.242589,1.3295,1.3295
15.400000,12.248800,1.3394,1.3394
15.450000,12.255096,1.2992,1.2992
15.500000,12.261447,1.3000,1.3000
15.550000,12.267823,1.3000,1.3000
15.600000,12.273321,1.3000,1.3000
15.650000,12.279877,1.3000,1.3000
15.700000,12.286590,1.3000,1.3000
15.750000,12.292559,1.3000,1.3000
15.800000,12.298733,1.3098,1.3098
15.850000,12.304210,1.2697,1.2697
15.900000,12.309937,1.2795,1.2795
15.950000,12.315877,1.2894,1.2894
16.000000,12.321123,1.2992,1.2992
16.050000,12.326621,1.3000,1.3000
16.100000,12.332445,1.3000,1.3000
16.150000,12.337799,1.3000,1.3000
16.200000,12.343627,1.3000,1.3000
16.250000,12.349015,1.3000,1.3000
16.300000,12.354904,1.2697,1.2697
16.350000,12.360377,1.2795,1.2795
16.400000,12.365500,1.2894,1.2894
16.450000,12.371323,1.2992,1.2992
16.500000,12.377908,1.3000,1.3000
16.550000,12.384335,1.3000,1.3000
16.600000,12.390664,1.2992,1.2992
