x_m,y_m,w_tr_right_m,w_tr_left_m
0.436,-7.50584,0.7,0.7
0.486,-7.507228,0.7,0.7
0.536,-7.508447,0.7,0.7
0.586,-7.509496,0.7,0.7
0.636,-7.511242,0.7,0.7
0.686,-7.512699,0.7,0.7
0.736,-7.513868,0.7,0.7
0.786,-7.514749,0.7,0.7
0.836,-7.515343,0.7,0.7
0.886,-7.516518,0.7,0.7
0.936,-7.517293,0.7,0.7
0.986,-7.517672,0.7,0.7
1.036,-7.519511,0.7,0.7
1.086,-7.520965,0.7,0.7
1.136,-7.522042,0.7,0.7
1.186,-7.523621,0.7,0.7
1.236,-7.524727,0.7,0.7
1.286,-7.526244,0.65,0.65
1.336,-7.5272,0.65,0.65
1.386,-7.52848,0.65,0.65
1.436,-7.529986,0.65,0.65
1.486,-7.530753,0.65,0.65
1.536,-7.531672,0.65,0.65
1.586,-7.53178,0.65,0.65
1.636,-7.53197,0.65,0.65
1.686,-7.532154,0.65,0.65
1.736,-7.532244,0.65,0.65
1.786,-7.531289,0.65,0.65
1.836,-7.530188,0.65,0.65
1.886,-7.528861,0.6598,0.6598
1.936,-7.527231,0.6697,0.6697
1.986,-7.525223,0.6795,0.6795
2.036,-7.522765,0.7394,0.7394
2.086,-7.519788,0.7492,0.7492
2.136,-7.516224,0.75,0.75
2.186,-7.512012,0.75,0.75
2.236,-7.506219,0.75,0.75
2.286,-7.49977,0.75,0.75
2.33687,-7.492606,0.75,0.75
2.387629,-7.484674,0.75,0.75
2.438279,-7.475919,0.75,0.75
2.488823,-7.466294,0.8,0.8
2.539263,-7.455751,0.8,0.8
2.590474,-7.445231,0.8,0.8
2.641476,-7.433827,0.8,0.8
2.692274,-7.421501,0.85,0.85
2.742875,-7.408223,0.85,0.85
2.793284,-7.393962,0.8492,0.8492
2.844376,-7.378692,0.8394,0.8394
2.895176,-7.362389,0.8788,0.8788
2.945692,-7.345031,0.8689,0.8689
2.995933,-7.3266,0.8591,0.8591
3.046778,-7.307081,0.8992,0.8992
3.097252,-7.28646,0.8894,0.8894
3.147367,-7.264728,0.9089,0.9089
3.197135,-7.241878,0.9189,0.9189
3.246567,-7.217906,0.9288,0.9288
3.295675,-7.19281,0.9288,0.9288
3.345339,-7.166592,0.9288,0.9288
3.394589,-7.139256,0.9488,0.9488
3.443439,-7.110808,0.9391,0.9391
3.492774,-7.08126,0.9488,0.9488
3.541627,-7.050623,0.9595,0.9595
3.590883,-7.018913,0.9488,0.9488
3.639579,-6.986148,0.9788,0.9788
3.687734,-6.95235,0.9692,0.9692
3.736238,-6.917543,0.9595,0.9595
3.784999,-6.881753,0.9595,0.9595
3.833059,-6.845011,0.9488,0.9488
3.880442,-6.807347,0.9391,0.9391
3.928044,-6.768799,0.9294,0.9294
3.975779,-6.729404,0.9595,0.9595
4.022694,-6.688218,0.9498,0.9498
4.069689,-6.646153,0.9488,0.9488
4.115815,-6.603252,0.9391,0.9391
4.161975,-6.559562,0.9294,0.9294
4.207221,-6.515132,0.9197,0.9197
4.252461,-6.470015,0.91,0.91
4.296748,-6.424265,0.91,0.91
4.340994,-6.377941,0.91,0.91
4.385126,-6.331103,0.91,0.91
4.471902,-6.236144,0.9089,0.9089
4.514529,-6.188158,0.8992,0.8992
4.556891,-6.139929,0.8895,0.8895
4.598926,-6.090547,0.8788,0.8788
4.640578,-6.040959,0.8691,0.8691
4.680921,-5.991241,0.8992,0.8992
4.720884,-5.941473,0.8895,0.8895
4.760416,-5.89174,0.8798,0.8798
4.799466,-5.841143,0.8798,0.8798
4.837988,-5.790638,0.8798,0.8798
4.875939,-5.740314,0.9089,0.9089
4.913277,-5.689278,0.91,0.91
4.949964,-5.638492,0.91,0.91
